DAP0067, HISTORIA DO CINEMA
DAP0076, FOTOGRAFIA E ILUMINAÇÃO 1
DAP0079, INTRODUÇÃO A FOTOGRAFIA
DAP0084, COMUNICAÇÃO E SOCIEDADE
DAP0093, PRODUÇÃO 2
DAP0096, OFICINA BÁSICA DE AUDIOVISUAL
DAP0098, INTRODUÇÃO A PUBLICIDADE E PROPAGANDA
DAP0101, FUNDAMENTOS DE COMUNICAÇÃO VISUAL
DAP0103, LINGUAGENS CINEMATOGRÁFICA E AUDIOVISUAL
DAP0104, TEORIA ESTÉTICA DO CINEMA E DO AUDIOVISUAL
DAP0105, OFICINA DE ARGUMENTO E ROTEIRO
DAP0107, DIREÇÃO
DAP0108, PRODUÇÃO
DAP0110, SOM 1
DAP0111, EDIÇÃO E MONTAGEM
DAP0115, PRÉ-PROJETO EM AUDIOVISUAL
DAP0117, INTRODUÇÃO A LINGUAGEM SONORA
DAP0118, ROTEIRO, PRODUÇÃO E REALIZAÇÃO EM ÁUDIO
DAP0120, FOTOGRAFIA PUBLICITÁRIA
DAP0123, MARKETING EM PUBLICIDADE E PROPAGANDA
DAP0124, REDAÇÃO PUBLICITÁRIA
DAP0125, DIREÇÃO DE ARTE EM ARTES GRÁFICAS
DAP0126, PLANEJAMENTO PUBLICITÁRIO
DAP0128, LABORATÓRIO EM PUBLICIDADE E PROPAGANDA
DAP0130, PRÉ-PROJETO EM PUBLICIDADE E PROPAGANDA
DAP0143, TÓPICOS ESPECIAIS EM COMUNICAÇÃO 3
DAP0145, TÓPICOS ESPECIAIS EM COMUNICAÇÃO 4
DAP0147, DIREÇÃO DE ARTE PARA PRODUTO AUDIOVISUAL
DAP0149, DIREÇÃO DE ATORES
DAP0154, DOCUMENTÁRIO 1
DAP0158, PRODUÇÃO PUBLICITÁRIA AUDIOVISUAL
DAP0164, TÓPICOS ESPECIAIS EM COMUNICAÇÃO 7
DAP0170, LEGISLAÇÃO E REGULAMENTAÇÃO DE PUBLICIDADE E PROPAGANDA
DAP0171, LEGISLAÇÃO, DESENVOLVIMENTO E PRODUÇÃO DE PROJETOS
DAP0172, MÍDIA E GERENCIAMENTO DE CONTAS
DAP0174, SOM 2
DAP0175, DIREÇÃO EM AUDIOVISUAL 2
DAP0176, EDIÇÃO E MONTAGEM 2
COM0001, TÓPICOS ESPECIAIS EM COMUNICAÇÃO ORGANIZACIONAL 4
COM0002, TÓPICOS ESPECIAIS EM COMUNICAÇÃO ORGANIZACIONAL 3
COM0006, EXTENSÃO EM COMUNICAÇÃO 1
COM0007, EXTENSÃO EM COMUNICAÇÃO 2
COM0009, TÓPICOS ESPECIAIS EM COMUNICAÇÃO ORGANIZACIONAL 5
COM0010, TÓPICOS ESPECIAIS EM COMUNICAÇÃO ORGANIZACIONAL 6
COM0016, TÓPICOS ESPECIAIS EM COMUNICAÇÃO ORGANIZACIONAL 9
COM0017, TÓPICOS ESPECIAIS EM COMUNICAÇÃO ORGANIZACIONAL 10
COM0127, ÉTICA, LEGISLAÇÃO E RESPONSABILIDADE SOCIAL
COM0128, INTRODUÇÃO AO MARKETING
